DD,FS,DT
都江堰景区,4.7,"
成都市都江堰市公园路                        "
锦里古街,4.4,"
成都市武侯区武侯祠大街231号                        "
宽窄巷子,4.4,"
成都市青羊区金河路口宽窄巷子                        "
成都动物园,4.6,"
成都市成华区昭觉寺南路234号(驷马桥)                        "
青城山,4.6,"
成都市都江堰市西南部青城山风景区                        "
成都大熊猫繁育研究基地,4.6,"
成都市成华区外北熊猫大道1375号                        "
文殊院,4.5,"
成都市青羊区文殊院街66号                        "
西岭雪山,4.7,"
成都市大邑县西岭镇西岭雪山风景区                        "
国色天乡水上乐园,4.6,"
成都市温江区万春镇国色天乡二期水上世界                        "
武侯祠,4.5,"
成都市武侯区武侯祠大街231号                        "
紫颐香薰山谷,4.2,"
成都市双流区太平镇双简路12号                        "
金沙遗址博物馆,4.7,"
成都市青羊区金沙遗址路2号成都金沙遗址博物馆                        "
杜甫草堂,4.5,"
成都市青羊区青华路37号                        "
春熙路,4.4,"
成都市锦江区                        "
成都欢乐谷,4.6,"
成都市金牛区西华大道16号                        "
